2024-08-02 11:21:56.613 (   0.030s) [        AE832419]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff05:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface fd6d:c83b:5cef:b6b2::1 (An invalid argument was supplied.)
2024-08-02 11:21:56.613 (   0.030s) [        AE832419]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff05:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface 192.168.192.177 (An invalid argument was supplied.)
2024-08-02 11:21:56.614 (   0.030s) [        AE832419]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff05:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface fc8a:3904:1126:bbfe:4ec5::1 (An invalid argument was supplied.)
2024-08-02 11:21:56.614 (   0.030s) [        AE832419]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff05:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface 127.0.0.1 (An invalid argument was supplied.)
2024-08-02 11:21:56.614 (   0.030s) [        AE832419]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff05:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface ::1 (An invalid argument was supplied.)
Starting Stream1 (Random)...
Traceback (most recent call last):
  File "d:\PHD\Biosignals-laboratory\scripts/stream2_script.py", line 15, in <module>
2024-08-02 12:59:11.790 (   0.024s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{3A6826F6-4F5F-4160-9F66-0D9E9175ACEE}' (status: 2, multicast: 1
2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{BA05B000-71C1-40F6-AB61-2A67BD7D13DA}' (status: 1, multicast: 1
2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 21
2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{F72EFBC3-BA17-4898-9346-4C2EDC1F0C9C}' (status: 1, multicast: 1
2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 28
2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{EEE84601-5D79-4CF3-AC5A-5F2A66CDE497}' (status: 2, multicast: 1
2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{BAF9F8BD-DAB6-49A9-8495-CB71F0F0A9EF}' (status: 1, multicast: 1
